"","x"
"1","2"
"2","7"
"3","3"
"4","1"
"5","1"
"6","9"
"7","1"
"8","6"
"9","4"
"10","9"
"11","5"
"12","8"
"13","9"
"14","2"
"15","6"
"16","6"
"17","3"
"18","4"
"19","5"
"20","6"
"21","3"
"22","4"
"23","1"
"24","6"
"25","4"
"26","4"
"27","1"
"28","4"
"29","5"
"30","5"
"31","7"
"32","4"
"33","4"
"34","2"
"35","2"
"36","9"
"37","4"
"38","3"
"39","1"
"40","5"
"41","5"
"42","5"
"43","2"
"44","5"
"45","6"
"46","4"
"47","6"
"48","6"
"49","5"
"50","3"
"51","5"
"52","4"
"53","9"
"54","5"
"55","6"
"56","7"
"57","6"
"58","4"
"59","9"
"60","4"
"61","5"
"62","5"
"63","4"
"64","5"
"65","7"
"66","4"
"67","6"
"68","5"
"69","6"
"70","6"
"71","1"
"72","5"
"73","5"
"74","4"
"75","5"
"76","2"
"77","9"
"78","5"
"79","2"
"80","4"
"81","2"
"82","2"
"83","9"
"84","9"
"85","5"
"86","2"
"87","5"
"88","2"
"89","1"
"90","1"
"91","4"
"92","4"
"93","5"
"94","2"
"95","4"
"96","9"
"97","3"
"98","4"
"99","6"
"100","6"
"101","3"
"102","2"
"103","9"
"104","4"
"105","4"
"106","9"
"107","4"
"108","3"
"109","6"
"110","6"
"111","9"
"112","4"
"113","7"
"114","3"
"115","4"
"116","3"
"117","4"
"118","6"
"119","2"
"120","8"
"121","1"
"122","4"
"123","3"
"124","2"
"125","3"
"126","1"
"127","7"
"128","9"
"129","5"
"130","4"
"131","4"
"132","6"
"133","3"
"134","5"
"135","5"
"136","6"
"137","6"
"138","4"
"139","6"
"140","2"
"141","2"
"142","5"
"143","7"
"144","6"
"145","3"
"146","5"
"147","6"
"148","5"
"149","5"
"150","9"
"151","5"
"152","9"
"153","5"
"154","4"
"155","5"
"156","1"
"157","6"
"158","9"
"159","4"
"160","4"
"161","7"
"162","4"
"163","4"
"164","6"
"165","9"
"166","3"
"167","1"
"168","9"
"169","1"
"170","6"
"171","5"
"172","3"
"173","4"
"174","3"
"175","1"
"176","3"
"177","5"
"178","5"
"179","5"
"180","4"
"181","4"
"182","4"
"183","7"
"184","6"
"185","9"
"186","3"
"187","1"
"188","9"
"189","4"
"190","2"
"191","3"
"192","2"
"193","3"
"194","3"
"195","7"
"196","5"
"197","9"
"198","8"
"199","9"
"200","5"
"201","8"
"202","5"
"203","2"
"204","2"
"205","5"
"206","4"
"207","4"
"208","8"
"209","2"
"210","4"
"211","5"
"212","6"
"213","9"
"214","2"
"215","9"
"216","5"
"217","5"
"218","8"
"219","6"
"220","4"
"221","1"
"222","5"
"223","5"
"224","4"
"225","4"
"226","1"
"227","2"
"228","2"
"229","7"
"230","7"
"231","5"
"232","5"
"233","3"
"234","6"
"235","3"
"236","8"
"237","9"
"238","2"
"239","1"
"240","2"
"241","1"
"242","2"
"243","4"
"244","6"
"245","5"
"246","3"
"247","6"
"248","5"
"249","5"
"250","5"
"251","5"
"252","5"
"253","1"
"254","4"
"255","5"
"256","6"
"257","6"
"258","6"
"259","6"
"260","5"
"261","9"
"262","5"
"263","2"
"264","9"
"265","8"
"266","6"
"267","5"
"268","3"
"269","1"
"270","6"
"271","3"
"272","5"
"273","8"
"274","5"
"275","9"
"276","4"
"277","4"
"278","5"
"279","9"
"280","7"
"281","1"
"282","6"
"283","1"
"284","2"
"285","2"
"286","2"
"287","8"
"288","9"
"289","9"
"290","1"
"291","5"
"292","8"
"293","4"
"294","4"
"295","5"
"296","5"
"297","8"
"298","4"
"299","2"
"300","6"
"301","4"
"302","4"
"303","8"
"304","5"
"305","1"
"306","6"
"307","1"
"308","3"
"309","2"
"310","7"
"311","1"
"312","5"
"313","9"
"314","6"
"315","3"
"316","8"
"317","1"
"318","4"
"319","4"
"320","2"
"321","6"
"322","4"
"323","2"
"324","1"
"325","9"
"326","1"
"327","8"
"328","3"
"329","5"
"330","1"
"331","2"
"332","4"
"333","5"
"334","5"
"335","9"
"336","7"
"337","4"
"338","3"
"339","1"
"340","6"
"341","1"
"342","4"
"343","5"
"344","4"
"345","8"
"346","8"
"347","1"
"348","5"
"349","4"
"350","9"
"351","3"
"352","3"
"353","9"
"354","7"
"355","2"
"356","4"
"357","6"
"358","4"
"359","8"
"360","6"
"361","1"
"362","1"
"363","1"
"364","5"
"365","4"
"366","6"
"367","5"
"368","6"
"369","5"
"370","3"
"371","6"
"372","3"
"373","6"
"374","4"
"375","6"
"376","5"
"377","5"
"378","9"
"379","1"
"380","4"
"381","8"
"382","2"
"383","8"
"384","9"
"385","4"
"386","5"
"387","2"
"388","5"
"389","6"
"390","2"
"391","9"
"392","4"
"393","2"
"394","8"
"395","7"
