"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",10,9,8,7,6,3,3,3,2
"V2",10,9,8,7,6,3,3,3,2
"V3",7,7,2,2,2,2,2,2,1
"V4",2,2,2,2,2,2,2,2,1
"V5",9,8,7,2,2,2,2,2,1
"V6",3,3,3,3,3,3,3,3,2
"V7",9,8,7,2,2,2,2,2,1
"V8",8,1,1,1,1,1,1,1,1
"V9",1,1,1,1,1,1,1,1,1
"V10",3,3,3,3,3,3,3,3,2
"V11",6,6,6,6,5,5,4,1,1
"V12",5,5,5,5,4,4,2,2,1
"V13",10,9,8,7,6,3,3,3,2
"V14",3,3,3,3,3,3,3,3,2
"V15",1,1,1,1,1,1,1,1,1
"V16",8,1,1,1,1,1,1,1,1
"V17",7,7,2,2,2,2,2,2,1
"V18",3,3,3,3,3,3,3,3,2
"V19",6,6,6,6,5,5,4,1,1
"V20",6,6,6,6,5,5,4,1,1
"V21",7,7,2,2,2,2,2,2,1
"V22",10,9,8,7,6,3,3,3,2
"V23",2,2,2,2,2,2,2,2,1
"V24",8,1,1,1,1,1,1,1,1
"V25",8,1,1,1,1,1,1,1,1
"V26",1,1,1,1,1,1,1,1,1
"V27",6,6,6,6,5,5,4,1,1
"V28",1,1,1,1,1,1,1,1,1
"V29",6,6,6,6,5,5,4,1,1
"V30",6,6,6,6,5,5,4,1,1
"V31",10,9,8,7,6,3,3,3,2
"V32",1,1,1,1,1,1,1,1,1
"V33",8,1,1,1,1,1,1,1,1
"V34",6,6,6,6,5,5,4,1,1
"V35",3,3,3,3,3,3,3,3,2
"V36",10,9,8,7,6,3,3,3,2
"V37",3,3,3,3,3,3,3,3,2
"V38",7,7,2,2,2,2,2,2,1
"V39",9,8,7,2,2,2,2,2,1
"V40",6,6,6,6,5,5,4,1,1
"V41",3,3,3,3,3,3,3,3,2
"V42",6,6,6,6,5,5,4,1,1
"V43",3,3,3,3,3,3,3,3,2
"V44",6,6,6,6,5,5,4,1,1
"V45",8,1,1,1,1,1,1,1,1
"V46",8,1,1,1,1,1,1,1,1
"V47",3,3,3,3,3,3,3,3,2
"V48",8,1,1,1,1,1,1,1,1
"V49",6,6,6,6,5,5,4,1,1
"V50",7,7,2,2,2,2,2,2,1
"V51",10,9,8,7,6,3,3,3,2
"V52",8,1,1,1,1,1,1,1,1
"V53",10,9,8,7,6,3,3,3,2
"V54",6,6,6,6,5,5,4,1,1
"V55",6,6,6,6,5,5,4,1,1
"V56",4,4,4,4,4,4,2,2,1
"V57",6,6,6,6,5,5,4,1,1
"V58",3,3,3,3,3,3,3,3,2
"V59",10,9,8,7,6,3,3,3,2
"V60",3,3,3,3,3,3,3,3,2
"V61",6,6,6,6,5,5,4,1,1
"V62",10,9,8,7,6,3,3,3,2
"V63",3,3,3,3,3,3,3,3,2
"V64",6,6,6,6,5,5,4,1,1
"V65",10,9,8,7,6,3,3,3,2
"V66",3,3,3,3,3,3,3,3,2
"V67",6,6,6,6,5,5,4,1,1
"V68",10,9,8,7,6,3,3,3,2
"V69",6,6,6,6,5,5,4,1,1
"V70",8,1,1,1,1,1,1,1,1
"V71",2,2,2,2,2,2,2,2,1
"V72",6,6,6,6,5,5,4,1,1
"V73",6,6,6,6,5,5,4,1,1
"V74",3,3,3,3,3,3,3,3,2
"V75",6,6,6,6,5,5,4,1,1
"V76",3,3,3,3,3,3,3,3,2
"V77",10,9,8,7,6,3,3,3,2
"V78",6,6,6,6,5,5,4,1,1
"V79",10,9,8,7,6,3,3,3,2
"V80",3,3,3,3,3,3,3,3,2
"V81",3,3,3,3,3,3,3,3,2
"V82",3,3,3,3,3,3,3,3,2
"V83",10,9,8,7,6,3,3,3,2
"V84",10,9,8,7,6,3,3,3,2
"V85",10,9,8,7,6,3,3,3,2
"V86",3,3,3,3,3,3,3,3,2
"V87",8,1,1,1,1,1,1,1,1
"V88",6,6,6,6,5,5,4,1,1
"V89",2,2,2,2,2,2,2,2,1
"V90",2,2,2,2,2,2,2,2,1
"V91",3,3,3,3,3,3,3,3,2
"V92",3,3,3,3,3,3,3,3,2
"V93",8,1,1,1,1,1,1,1,1
"V94",3,3,3,3,3,3,3,3,2
"V95",1,1,1,1,1,1,1,1,1
"V96",10,9,8,7,6,3,3,3,2
"V97",7,7,2,2,2,2,2,2,1
"V98",10,9,8,7,6,3,3,3,2
"V99",1,1,1,1,1,1,1,1,1
"V100",3,3,3,3,3,3,3,3,2
