"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",9,8,7,5,4,4,4,2,1
"V2",1,1,1,1,1,1,1,1,1
"V3",6,6,5,5,4,4,4,2,1
"V4",3,3,1,1,1,1,1,1,1
"V5",7,7,6,6,5,1,1,1,1
"V6",10,9,8,7,6,5,3,3,2
"V7",7,7,6,6,5,1,1,1,1
"V8",5,5,4,4,2,2,2,2,1
"V9",2,2,2,2,2,2,2,2,1
"V10",10,9,8,7,6,5,3,3,2
"V11",4,4,3,3,3,3,3,3,2
"V12",8,1,1,1,1,1,1,1,1
"V13",10,9,8,7,6,5,3,3,2
"V14",2,2,2,2,2,2,2,2,1
"V15",2,2,2,2,2,2,2,2,1
"V16",5,5,4,4,2,2,2,2,1
"V17",6,6,5,5,4,4,4,2,1
"V18",2,2,2,2,2,2,2,2,1
"V19",4,4,3,3,3,3,3,3,2
"V20",4,4,3,3,3,3,3,3,2
"V21",6,6,5,5,4,4,4,2,1
"V22",9,8,7,5,4,4,4,2,1
"V23",3,3,1,1,1,1,1,1,1
"V24",5,5,4,4,2,2,2,2,1
"V25",5,5,4,4,2,2,2,2,1
"V26",2,2,2,2,2,2,2,2,1
"V27",3,3,1,1,1,1,1,1,1
"V28",2,2,2,2,2,2,2,2,1
"V29",4,4,3,3,3,3,3,3,2
"V30",4,4,3,3,3,3,3,3,2
"V31",1,1,1,1,1,1,1,1,1
"V32",2,2,2,2,2,2,2,2,1
"V33",5,5,4,4,2,2,2,2,1
"V34",4,4,3,3,3,3,3,3,2
"V35",10,9,8,7,6,5,3,3,2
"V36",9,8,7,5,4,4,4,2,1
"V37",10,9,8,7,6,5,3,3,2
"V38",6,6,5,5,4,4,4,2,1
"V39",7,7,6,6,5,1,1,1,1
"V40",10,9,8,7,6,5,3,3,2
"V41",10,9,8,7,6,5,3,3,2
"V42",4,4,3,3,3,3,3,3,2
"V43",10,9,8,7,6,5,3,3,2
"V44",4,4,3,3,3,3,3,3,2
"V45",5,5,4,4,2,2,2,2,1
"V46",5,5,4,4,2,2,2,2,1
"V47",2,2,2,2,2,2,2,2,1
"V48",5,5,4,4,2,2,2,2,1
"V49",4,4,3,3,3,3,3,3,2
"V50",6,6,5,5,4,4,4,2,1
"V51",10,9,8,7,6,5,3,3,2
"V52",5,5,4,4,2,2,2,2,1
"V53",9,8,7,5,4,4,4,2,1
"V54",10,9,8,7,6,5,3,3,2
"V55",4,4,3,3,3,3,3,3,2
"V56",8,1,1,1,1,1,1,1,1
"V57",4,4,3,3,3,3,3,3,2
"V58",2,2,2,2,2,2,2,2,1
"V59",10,9,8,7,6,5,3,3,2
"V60",2,2,2,2,2,2,2,2,1
"V61",4,4,3,3,3,3,3,3,2
"V62",10,9,8,7,6,5,3,3,2
"V63",2,2,2,2,2,2,2,2,1
"V64",10,9,8,7,6,5,3,3,2
"V65",1,1,1,1,1,1,1,1,1
"V66",2,2,2,2,2,2,2,2,1
"V67",4,4,3,3,3,3,3,3,2
"V68",10,9,8,7,6,5,3,3,2
"V69",4,4,3,3,3,3,3,3,2
"V70",5,5,4,4,2,2,2,2,1
"V71",7,7,6,6,5,1,1,1,1
"V72",4,4,3,3,3,3,3,3,2
"V73",10,9,8,7,6,5,3,3,2
"V74",2,2,2,2,2,2,2,2,1
"V75",4,4,3,3,3,3,3,3,2
"V76",10,9,8,7,6,5,3,3,2
"V77",10,9,8,7,6,5,3,3,2
"V78",4,4,3,3,3,3,3,3,2
"V79",10,9,8,7,6,5,3,3,2
"V80",10,9,8,7,6,5,3,3,2
"V81",10,9,8,7,6,5,3,3,2
"V82",10,9,8,7,6,5,3,3,2
"V83",10,9,8,7,6,5,3,3,2
"V84",10,9,8,7,6,5,3,3,2
"V85",9,8,7,5,4,4,4,2,1
"V86",10,9,8,7,6,5,3,3,2
"V87",5,5,4,4,2,2,2,2,1
"V88",5,5,4,4,2,2,2,2,1
"V89",7,7,6,6,5,1,1,1,1
"V90",7,7,6,6,5,1,1,1,1
"V91",2,2,2,2,2,2,2,2,1
"V92",10,9,8,7,6,5,3,3,2
"V93",5,5,4,4,2,2,2,2,1
"V94",4,4,3,3,3,3,3,3,2
"V95",2,2,2,2,2,2,2,2,1
"V96",10,9,8,7,6,5,3,3,2
"V97",6,6,5,5,4,4,4,2,1
"V98",9,8,7,5,4,4,4,2,1
"V99",2,2,2,2,2,2,2,2,1
"V100",10,9,8,7,6,5,3,3,2
"V101",6,6,5,5,4,4,4,2,1
"V102",10,9,8,7,6,5,3,3,2
"V103",10,9,8,7,6,5,3,3,2
"V104",5,5,4,4,2,2,2,2,1
"V105",5,5,4,4,2,2,2,2,1
"V106",9,8,7,5,4,4,4,2,1
"V107",4,4,3,3,3,3,3,3,2
"V108",6,6,5,5,4,4,4,2,1
"V109",4,4,3,3,3,3,3,3,2
"V110",10,9,8,7,6,5,3,3,2
"V111",10,9,8,7,6,5,3,3,2
"V112",9,8,7,5,4,4,4,2,1
"V113",8,1,1,1,1,1,1,1,1
"V114",6,6,5,5,4,4,4,2,1
"V115",2,2,2,2,2,2,2,2,1
"V116",6,6,5,5,4,4,4,2,1
"V117",9,8,7,5,4,4,4,2,1
"V118",2,2,2,2,2,2,2,2,1
"V119",10,9,8,7,6,5,3,3,2
"V120",10,9,8,7,6,5,3,3,2
"V121",7,7,6,6,5,1,1,1,1
"V122",10,9,8,7,6,5,3,3,2
