"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",9,8,7,6,5,5,4,3,2
"V2",4,2,2,2,2,2,2,2,1
"V3",8,7,6,6,5,5,4,3,2
"V4",2,2,2,2,2,2,2,2,1
"V5",5,4,4,4,2,2,2,2,1
"V6",1,1,1,1,1,1,1,1,1
"V7",5,4,4,4,2,2,2,2,1
"V8",6,5,5,5,4,4,1,1,1
"V9",7,6,5,5,4,4,1,1,1
"V10",1,1,1,1,1,1,1,1,1
"V11",10,9,8,7,6,3,3,3,2
"V12",2,2,2,2,2,2,2,2,1
"V13",1,1,1,1,1,1,1,1,1
"V14",1,1,1,1,1,1,1,1,1
"V15",7,6,5,5,4,4,1,1,1
"V16",6,5,5,5,4,4,1,1,1
"V17",8,7,6,6,5,5,4,3,2
"V18",7,6,5,5,4,4,1,1,1
"V19",10,9,8,7,6,3,3,3,2
"V20",10,9,8,7,6,3,3,3,2
"V21",8,7,6,6,5,5,4,3,2
"V22",9,8,7,6,5,5,4,3,2
"V23",2,2,2,2,2,2,2,2,1
"V24",6,5,5,5,4,4,1,1,1
"V25",6,5,5,5,4,4,1,1,1
"V26",7,6,5,5,4,4,1,1,1
"V27",2,2,2,2,2,2,2,2,1
"V28",7,6,5,5,4,4,1,1,1
"V29",10,9,8,7,6,3,3,3,2
"V30",10,9,8,7,6,3,3,3,2
"V31",4,2,2,2,2,2,2,2,1
"V32",7,6,5,5,4,4,1,1,1
"V33",6,5,5,5,4,4,1,1,1
"V34",10,9,8,7,6,3,3,3,2
"V35",1,1,1,1,1,1,1,1,1
"V36",9,8,7,6,5,5,4,3,2
"V37",1,1,1,1,1,1,1,1,1
"V38",8,7,6,6,5,5,4,3,2
"V39",5,4,4,4,2,2,2,2,1
"V40",3,3,3,3,3,3,3,3,2
"V41",3,3,3,3,3,3,3,3,2
"V42",10,9,8,7,6,3,3,3,2
"V43",1,1,1,1,1,1,1,1,1
"V44",10,9,8,7,6,3,3,3,2
"V45",6,5,5,5,4,4,1,1,1
"V46",6,5,5,5,4,4,1,1,1
"V47",3,3,3,3,3,3,3,3,2
"V48",6,5,5,5,4,4,1,1,1
"V49",10,9,8,7,6,3,3,3,2
"V50",8,7,6,6,5,5,4,3,2
"V51",3,3,3,3,3,3,3,3,2
"V52",6,5,5,5,4,4,1,1,1
"V53",9,8,7,6,5,5,4,3,2
"V54",3,3,3,3,3,3,3,3,2
"V55",3,3,3,3,3,3,3,3,2
"V56",2,2,2,2,2,2,2,2,1
"V57",10,9,8,7,6,3,3,3,2
"V58",7,6,5,5,4,4,1,1,1
"V59",1,1,1,1,1,1,1,1,1
"V60",7,6,5,5,4,4,1,1,1
"V61",10,9,8,7,6,3,3,3,2
"V62",3,3,3,3,3,3,3,3,2
"V63",1,1,1,1,1,1,1,1,1
"V64",3,3,3,3,3,3,3,3,2
"V65",4,2,2,2,2,2,2,2,1
"V66",7,6,5,5,4,4,1,1,1
"V67",3,3,3,3,3,3,3,3,2
"V68",3,3,3,3,3,3,3,3,2
"V69",10,9,8,7,6,3,3,3,2
"V70",6,5,5,5,4,4,1,1,1
"V71",5,4,4,4,2,2,2,2,1
"V72",10,9,8,7,6,3,3,3,2
"V73",3,3,3,3,3,3,3,3,2
"V74",7,6,5,5,4,4,1,1,1
"V75",10,9,8,7,6,3,3,3,2
"V76",1,1,1,1,1,1,1,1,1
"V77",1,1,1,1,1,1,1,1,1
"V78",10,9,8,7,6,3,3,3,2
"V79",1,1,1,1,1,1,1,1,1
"V80",1,1,1,1,1,1,1,1,1
"V81",1,1,1,1,1,1,1,1,1
"V82",1,1,1,1,1,1,1,1,1
"V83",1,1,1,1,1,1,1,1,1
"V84",1,1,1,1,1,1,1,1,1
"V85",9,8,7,6,5,5,4,3,2
"V86",1,1,1,1,1,1,1,1,1
"V87",6,5,5,5,4,4,1,1,1
"V88",10,9,8,7,6,3,3,3,2
"V89",5,4,4,4,2,2,2,2,1
"V90",5,4,4,4,2,2,2,2,1
"V91",7,6,5,5,4,4,1,1,1
"V92",1,1,1,1,1,1,1,1,1
"V93",6,5,5,5,4,4,1,1,1
"V94",1,1,1,1,1,1,1,1,1
"V95",7,6,5,5,4,4,1,1,1
"V96",1,1,1,1,1,1,1,1,1
"V97",8,7,6,6,5,5,4,3,2
"V98",9,8,7,6,5,5,4,3,2
"V99",3,3,3,3,3,3,3,3,2
"V100",3,3,3,3,3,3,3,3,2
"V101",8,7,6,6,5,5,4,3,2
"V102",1,1,1,1,1,1,1,1,1
"V103",1,1,1,1,1,1,1,1,1
"V104",6,5,5,5,4,4,1,1,1
"V105",6,5,5,5,4,4,1,1,1
"V106",9,8,7,6,5,5,4,3,2
"V107",10,9,8,7,6,3,3,3,2
"V108",8,7,6,6,5,5,4,3,2
"V109",10,9,8,7,6,3,3,3,2
"V110",3,3,3,3,3,3,3,3,2
"V111",1,1,1,1,1,1,1,1,1
"V112",9,8,7,6,5,5,4,3,2
"V113",4,2,2,2,2,2,2,2,1
"V114",8,7,6,6,5,5,4,3,2
"V115",7,6,5,5,4,4,1,1,1
"V116",8,7,6,6,5,5,4,3,2
"V117",9,8,7,6,5,5,4,3,2
"V118",7,6,5,5,4,4,1,1,1
"V119",1,1,1,1,1,1,1,1,1
"V120",1,1,1,1,1,1,1,1,1
"V121",5,4,4,4,2,2,2,2,1
"V122",1,1,1,1,1,1,1,1,1
"V123",8,7,6,6,5,5,4,3,2
"V124",1,1,1,1,1,1,1,1,1
"V125",8,7,6,6,5,5,4,3,2
"V126",2,2,2,2,2,2,2,2,1
"V127",4,2,2,2,2,2,2,2,1
