"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",9,8,8,7,6,5,4,1,1
"V2",3,2,2,2,2,2,2,2,2
"V3",8,7,7,7,6,5,4,1,1
"V4",2,2,2,2,2,2,2,2,2
"V5",5,4,4,4,2,2,2,2,2
"V6",4,3,3,3,3,3,3,3,2
"V7",5,4,4,4,2,2,2,2,2
"V8",10,9,5,5,4,4,3,3,2
"V9",6,5,5,5,4,4,3,3,2
"V10",4,3,3,3,3,3,3,3,2
"V11",1,1,1,1,1,1,1,1,1
"V12",2,2,2,2,2,2,2,2,2
"V13",4,3,3,3,3,3,3,3,2
"V14",6,5,5,5,4,4,3,3,2
"V15",9,8,8,7,6,5,4,1,1
"V16",10,9,5,5,4,4,3,3,2
"V17",8,7,7,7,6,5,4,1,1
"V18",6,5,5,5,4,4,3,3,2
"V19",1,1,1,1,1,1,1,1,1
"V20",1,1,1,1,1,1,1,1,1
"V21",8,7,7,7,6,5,4,1,1
"V22",9,8,8,7,6,5,4,1,1
"V23",2,2,2,2,2,2,2,2,2
"V24",10,9,5,5,4,4,3,3,2
"V25",10,9,5,5,4,4,3,3,2
"V26",6,5,5,5,4,4,3,3,2
"V27",2,2,2,2,2,2,2,2,2
"V28",9,8,8,7,6,5,4,1,1
"V29",1,1,1,1,1,1,1,1,1
"V30",1,1,1,1,1,1,1,1,1
"V31",3,2,2,2,2,2,2,2,2
"V32",6,5,5,5,4,4,3,3,2
"V33",6,5,5,5,4,4,3,3,2
"V34",1,1,1,1,1,1,1,1,1
"V35",4,3,3,3,3,3,3,3,2
"V36",9,8,8,7,6,5,4,1,1
"V37",4,3,3,3,3,3,3,3,2
"V38",8,7,7,7,6,5,4,1,1
"V39",5,4,4,4,2,2,2,2,2
"V40",7,6,6,6,5,1,1,1,1
"V41",7,6,6,6,5,1,1,1,1
"V42",1,1,1,1,1,1,1,1,1
"V43",4,3,3,3,3,3,3,3,2
"V44",1,1,1,1,1,1,1,1,1
"V45",10,9,5,5,4,4,3,3,2
"V46",10,9,5,5,4,4,3,3,2
"V47",7,6,6,6,5,1,1,1,1
"V48",10,9,5,5,4,4,3,3,2
"V49",1,1,1,1,1,1,1,1,1
"V50",8,7,7,7,6,5,4,1,1
"V51",7,6,6,6,5,1,1,1,1
"V52",10,9,5,5,4,4,3,3,2
"V53",9,8,8,7,6,5,4,1,1
"V54",7,6,6,6,5,1,1,1,1
"V55",7,6,6,6,5,1,1,1,1
"V56",2,2,2,2,2,2,2,2,2
"V57",1,1,1,1,1,1,1,1,1
"V58",6,5,5,5,4,4,3,3,2
"V59",4,3,3,3,3,3,3,3,2
"V60",6,5,5,5,4,4,3,3,2
"V61",1,1,1,1,1,1,1,1,1
"V62",7,6,6,6,5,1,1,1,1
"V63",6,5,5,5,4,4,3,3,2
"V64",7,6,6,6,5,1,1,1,1
"V65",3,2,2,2,2,2,2,2,2
"V66",6,5,5,5,4,4,3,3,2
"V67",7,6,6,6,5,1,1,1,1
"V68",7,6,6,6,5,1,1,1,1
"V69",1,1,1,1,1,1,1,1,1
"V70",10,9,5,5,4,4,3,3,2
"V71",5,4,4,4,2,2,2,2,2
"V72",1,1,1,1,1,1,1,1,1
"V73",7,6,6,6,5,1,1,1,1
"V74",6,5,5,5,4,4,3,3,2
"V75",1,1,1,1,1,1,1,1,1
"V76",4,3,3,3,3,3,3,3,2
"V77",4,3,3,3,3,3,3,3,2
"V78",1,1,1,1,1,1,1,1,1
"V79",4,3,3,3,3,3,3,3,2
"V80",4,3,3,3,3,3,3,3,2
"V81",4,3,3,3,3,3,3,3,2
"V82",4,3,3,3,3,3,3,3,2
"V83",4,3,3,3,3,3,3,3,2
"V84",4,3,3,3,3,3,3,3,2
"V85",9,8,8,7,6,5,4,1,1
"V86",4,3,3,3,3,3,3,3,2
"V87",10,9,5,5,4,4,3,3,2
"V88",1,1,1,1,1,1,1,1,1
"V89",5,4,4,4,2,2,2,2,2
"V90",5,4,4,4,2,2,2,2,2
"V91",6,5,5,5,4,4,3,3,2
"V92",4,3,3,3,3,3,3,3,2
"V93",10,9,5,5,4,4,3,3,2
"V94",4,3,3,3,3,3,3,3,2
"V95",6,5,5,5,4,4,3,3,2
"V96",4,3,3,3,3,3,3,3,2
"V97",8,7,7,7,6,5,4,1,1
"V98",9,8,8,7,6,5,4,1,1
"V99",7,6,6,6,5,1,1,1,1
"V100",7,6,6,6,5,1,1,1,1
"V101",8,7,7,7,6,5,4,1,1
"V102",4,3,3,3,3,3,3,3,2
"V103",4,3,3,3,3,3,3,3,2
