"","Cl_mat","cl_id","cl_id.1","cl_id.2","cl_id.3","cl_id.4","cl_id.5","cl_id.6","cl_id.7"
"V1",1,1,1,1,1,1,1,1,1
"V2",10,2,2,2,2,2,2,2,2
"V3",4,4,4,4,4,4,4,1,1
"V4",8,8,8,7,6,3,3,3,2
"V5",7,7,7,6,6,3,3,3,2
"V6",1,1,1,1,1,1,1,1,1
"V7",7,7,7,6,6,3,3,3,2
"V8",2,2,2,2,2,2,2,2,2
"V9",9,9,4,4,4,4,4,1,1
"V10",1,1,1,1,1,1,1,1,1
"V11",5,5,5,5,5,5,2,2,2
"V12",6,6,6,3,3,3,3,3,2
"V13",1,1,1,1,1,1,1,1,1
"V14",9,9,4,4,4,4,4,1,1
"V15",9,9,4,4,4,4,4,1,1
"V16",2,2,2,2,2,2,2,2,2
"V17",4,4,4,4,4,4,4,1,1
"V18",9,9,4,4,4,4,4,1,1
"V19",5,5,5,5,5,5,2,2,2
"V20",5,5,5,5,5,5,2,2,2
"V21",4,4,4,4,4,4,4,1,1
"V22",1,1,1,1,1,1,1,1,1
"V23",8,8,8,7,6,3,3,3,2
"V24",2,2,2,2,2,2,2,2,2
"V25",2,2,2,2,2,2,2,2,2
"V26",9,9,4,4,4,4,4,1,1
"V27",5,5,5,5,5,5,2,2,2
"V28",9,9,4,4,4,4,4,1,1
"V29",5,5,5,5,5,5,2,2,2
"V30",5,5,5,5,5,5,2,2,2
"V31",10,2,2,2,2,2,2,2,2
"V32",9,9,4,4,4,4,4,1,1
"V33",2,2,2,2,2,2,2,2,2
"V34",5,5,5,5,5,5,2,2,2
"V35",1,1,1,1,1,1,1,1,1
"V36",1,1,1,1,1,1,1,1,1
"V37",1,1,1,1,1,1,1,1,1
"V38",4,4,4,4,4,4,4,1,1
"V39",7,7,7,6,6,3,3,3,2
"V40",5,5,5,5,5,5,2,2,2
"V41",1,1,1,1,1,1,1,1,1
"V42",5,5,5,5,5,5,2,2,2
"V43",1,1,1,1,1,1,1,1,1
"V44",5,5,5,5,5,5,2,2,2
"V45",2,2,2,2,2,2,2,2,2
"V46",2,2,2,2,2,2,2,2,2
"V47",9,9,4,4,4,4,4,1,1
"V48",2,2,2,2,2,2,2,2,2
"V49",5,5,5,5,5,5,2,2,2
"V50",4,4,4,4,4,4,4,1,1
"V51",1,1,1,1,1,1,1,1,1
"V52",2,2,2,2,2,2,2,2,2
"V53",1,1,1,1,1,1,1,1,1
"V54",1,1,1,1,1,1,1,1,1
"V55",5,5,5,5,5,5,2,2,2
"V56",3,3,3,3,3,3,3,3,2
"V57",5,5,5,5,5,5,2,2,2
"V58",9,9,4,4,4,4,4,1,1
"V59",1,1,1,1,1,1,1,1,1
"V60",9,9,4,4,4,4,4,1,1
"V61",5,5,5,5,5,5,2,2,2
"V62",1,1,1,1,1,1,1,1,1
"V63",9,9,4,4,4,4,4,1,1
"V64",5,5,5,5,5,5,2,2,2
"V65",10,2,2,2,2,2,2,2,2
"V66",9,9,4,4,4,4,4,1,1
"V67",5,5,5,5,5,5,2,2,2
"V68",1,1,1,1,1,1,1,1,1
"V69",5,5,5,5,5,5,2,2,2
"V70",2,2,2,2,2,2,2,2,2
"V71",8,8,8,7,6,3,3,3,2
"V72",5,5,5,5,5,5,2,2,2
"V73",5,5,5,5,5,5,2,2,2
"V74",9,9,4,4,4,4,4,1,1
"V75",5,5,5,5,5,5,2,2,2
"V76",1,1,1,1,1,1,1,1,1
"V77",1,1,1,1,1,1,1,1,1
"V78",5,5,5,5,5,5,2,2,2
"V79",1,1,1,1,1,1,1,1,1
"V80",1,1,1,1,1,1,1,1,1
"V81",1,1,1,1,1,1,1,1,1
"V82",9,9,4,4,4,4,4,1,1
"V83",1,1,1,1,1,1,1,1,1
"V84",1,1,1,1,1,1,1,1,1
"V85",1,1,1,1,1,1,1,1,1
"V86",1,1,1,1,1,1,1,1,1
"V87",2,2,2,2,2,2,2,2,2
"V88",5,5,5,5,5,5,2,2,2
"V89",8,8,8,7,6,3,3,3,2
"V90",8,8,8,7,6,3,3,3,2
"V91",9,9,4,4,4,4,4,1,1
"V92",9,9,4,4,4,4,4,1,1
"V93",2,2,2,2,2,2,2,2,2
"V94",5,5,5,5,5,5,2,2,2
"V95",9,9,4,4,4,4,4,1,1
"V96",1,1,1,1,1,1,1,1,1
"V97",4,4,4,4,4,4,4,1,1
"V98",1,1,1,1,1,1,1,1,1
"V99",9,9,4,4,4,4,4,1,1
"V100",1,1,1,1,1,1,1,1,1
